"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"USB-C1,USB-UART1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";2;"USB-C-16P-F(A40-00119-A52-12)";;;
2;"CHARGE1";"LED_0603_KA";1;"LED/Yellow/0603";;;
3;"C14,C8,C1,C7,C11";"C_0603_5MIL_DWS";5;"22uF/6.3V/20%/X5R/C0603";;;
4;"FID3,FID6";"Fiducial1x3_Paste";2;"Fiducial";;;
5;"C2,C13,C4,C12";"C_0402_5MIL_DWS";4;"100nF/10V/20%/X5R/C0402";;;
6;"C3";"C_0603_5MIL_DWS";1;"1uF/10V/10%/X5R/C0603";;;
7;"USER_LED1";"LED_0603_KA";1;"LED/GREEN/0603";;;
8;"U2";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
9;"R29";"R_0402_5MIL_DWS";1;"100R/R0402";;;
10;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
11;"U1";"ESP32-C6-MINI-1-N4";1;"ESP32-C6-MINI-1-N4";;;
12;"R2,R19,R18,R4,R9,R10";"R_0402_5MIL_DWS";6;"10k/R0402";;;
13;"U3";"SOT-23-5";1;"TP4054-42-SOT25-R";;;
14;"FID1,FID2,FID4,FID5";"Fiducial1x3";4;"Fiducial";;;
15;"D1,D5,D2,D7,D3,D4,D6";"SOD-123_1C-2A_KA";7;"1N5819S4(SOD-123)";;;
16;"FET1";"SOT23";1;"WPM2015-3/TR";;;
17;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
18;"L1";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
19;"C10";"C_0603_5MIL_DWS";1;"NA(22uF/6.3V/20%/X5R/C0603)";;;
20;"USER1";"YTS-A016-X";1;"YTS-A016-X";;;
21;"C5,C6";"C_0402_5MIL_DWS";2;"150pF/50V/2%/NP0/C0402";;;
22;"Q1,Q2";"SOT23";2;"BC817-40(SOT23)";;;
23;"R17";"R_0402_5MIL_DWS";1;"40.2k/1%/R0402";;;
24;"R27,R26,R25,R24";"R_0402_5MIL_DWS";4;"5.1k/1%/R0402";;;
25;"R22,R28";"R_0402_5MIL_DWS";2;"1k/R0402";;;
26;"PWR_SENS_E1,BAT_PWR_E1,BAT_SENS_E1";"SJ_1_SMALLER";3;"Opened";;;
27;"R3,R5,R6";"R_0402_5MIL_DWS";3;"470k/R0402";;;
28;"R23";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
29;"C9";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
30;"R16";"R_0402_5MIL_DWS";1;"10k/1%/R0402";;;
31;"R15";"R_0402_5MIL_DWS";1;"180k/1%/R0402";;;
32;"EXT1,EXT2";"HN1x11";2;"HN1x11";;;
33;"U4";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
34;"R20,R11";"R_0402_5MIL_DWS";2;"NA(10k/R0402)";;;
35;"R7,R12,R21,R8";"R_0402_5MIL_DWS";4;"2.2k/R0402";;;
36;"R30";"R_0402_5MIL_DWS";1;"220R/R0402";;;
37;"R13,R14";"R_0402_5MIL_DWS";2;"22R/R0402";;;
38;"R1";"R_0402_5MIL_DWS";1;"220k/R0402";;;
